"location","total_vaccinations","cum_total_vaccinations"
"Australia","2021-05-13",82824167
"Australia","2021-05-14",85802432
"Australia","2021-05-15",88859229
"Australia","2021-05-16",91948413
"Australia","2021-05-17",95048550
"Australia","2021-05-18",98231874
"Australia","2021-05-19",101510728
"Australia","2021-05-20",104882456
"Australia","2021-05-21",108355330
"Australia","2021-05-22",111917825
"Australia","2021-05-23",115517789
"Australia","2021-05-24",119130842
"Australia","2021-05-25",122821464
"Australia","2021-05-26",126616744
"Australia","2021-05-27",130523412
"Australia","2021-05-28",134554951
"Australia","2021-05-29",138708100
"Australia","2021-05-30",142920999
"Australia","2021-05-31",147164599
"Australia","2021-06-01",151527338
"Australia","2021-06-02",156028782
"Australia","2021-06-03",160671485
"Australia","2021-06-04",165457847
"Australia","2021-06-05",170385454
"Australia","2021-06-06",175401806
"Australia","2021-06-07",180478219
"Australia","2021-06-08",185682196
"Australia","2021-06-09",191027058
"Australia","2021-06-10",196514728
"Australia","2021-06-11",202155736
"Australia","2021-06-12",207929660
"Australia","2021-06-13",213764406
"Australia","2021-06-14",219631705
"Australia","2021-06-15",225562950
"Australia","2021-06-16",231646270
"Australia","2021-06-17",237865600
"Australia","2021-06-18",244226266
"Australia","2021-06-19",250717742
"Australia","2021-06-20",257273771
"Australia","2021-06-21",263864512
"Austria","2020-12-27",737
"Austria","2020-12-28",2781
"Austria","2020-12-29",6450
"Austria","2020-12-30",11481
"Austria","2020-12-31",16522
"Austria","2021-01-01",21570
"Austria","2021-01-02",26626
"Austria","2021-01-03",31688
"Austria","2021-01-04",36872
"Austria","2021-01-05",43861
"Austria","2021-01-06",51698
"Austria","2021-01-07",62805
"Austria","2021-01-08",86989
"Austria","2021-01-09",115635
"Austria","2021-01-10",146523
"Austria","2021-01-11",183076
"Austria","2021-01-12",234523
"Austria","2021-01-13",301891
"Austria","2021-01-14",386149
"Austria","2021-01-15",488909
"Austria","2021-01-16",598545
"Austria","2021-01-17",713886
"Austria","2021-01-18",840702
"Austria","2021-01-19",993661
"Austria","2021-01-20",1170352
"Austria","2021-01-21",1366960
"Austria","2021-01-22",1575223
"Austria","2021-01-23",1786625
"Austria","2021-01-24",1999286
"Austria","2021-01-25",2213454
"Austria","2021-01-26",2436354
"Austria","2021-01-27",2667325
"Austria","2021-01-28",2908246
"Austria","2021-01-29",3164255
"Austria","2021-01-30",3423978
"Austria","2021-01-31",3685066
"Austria","2021-02-01",3950861
"Austria","2021-02-02",4234179
"Austria","2021-02-03",4535763
"Austria","2021-02-04",4858050
"Austria","2021-02-05",5201697
"Austria","2021-02-06",5554526
"Austria","2021-02-07",5912402
"Austria","2021-02-08",6280047
"Austria","2021-02-09",6667253
"Austria","2021-02-10",7076469
"Austria","2021-02-11",7510502
"Austria","2021-02-12",7971449
"Austria","2021-02-13",8442873
"Austria","2021-02-14",8916328
"Austria","2021-02-15",9396928
"Austria","2021-02-16",9892246
"Austria","2021-02-17",10407368
"Austria","2021-02-18",10942513
"Austria","2021-02-19",11499150
"Austria","2021-02-20",12068846
"Austria","2021-02-21",12644542
"Austria","2021-02-22",13227205
"Austria","2021-02-23",13824856
"Austria","2021-02-24",14442405
"Austria","2021-02-25",15080091
"Austria","2021-02-26",15747269
"Austria","2021-02-27",16439615
"Austria","2021-02-28",17142108
"Austria","2021-03-01",17853499
"Austria","2021-03-02",18590531
"Austria","2021-03-03",19355722
"Austria","2021-03-04",20148504
"Austria","2021-03-05",20978641
"Austria","2021-03-06",21836908
"Austria","2021-03-07",22707101
"Austria","2021-03-08",23588973
"Austria","2021-03-09",24499407
"Austria","2021-03-10",25438867
"Austria","2021-03-11",26423222
"Austria","2021-03-12",27466362
"Austria","2021-03-13",28561946
"Austria","2021-03-14",29687964
"Austria","2021-03-15",30835144
"Austria","2021-03-16",32010982
"Austria","2021-03-17",33221392
"Austria","2021-03-18",34466776
"Austria","2021-03-19",35766355
"Austria","2021-03-20",37113375
"Austria","2021-03-21",38475949
"Austria","2021-03-22",39854538
"Austria","2021-03-23",41268972
"Austria","2021-03-24",42723177
"Austria","2021-03-25",44223651
"Austria","2021-03-26",45775385
"Austria","2021-03-27",47368574
"Austria","2021-03-28",48976343
"Austria","2021-03-29",50610840
"Austria","2021-03-30",52286815
"Austria","2021-03-31",53998150
"Austria","2021-04-01",55751519
"Austria","2021-04-02",57548918
"Austria","2021-04-03",59368127
"Austria","2021-04-04",61197407
"Austria","2021-04-05",63039239
"Austria","2021-04-06",64919315
"Austria","2021-04-07",66855180
"Austria","2021-04-08",68863851
"Austria","2021-04-09",70951071
"Austria","2021-04-10",73103630
"Austria","2021-04-11",75282123
"Austria","2021-04-12",77495668
"Austria","2021-04-13",79754347
"Austria","2021-04-14",82080535
"Austria","2021-04-15",84481190
"Austria","2021-04-16",86952142
"Austria","2021-04-17",89480571
"Austria","2021-04-18",92028194
"Austria","2021-04-19",94607569
"Austria","2021-04-20",97232276
"Austria","2021-04-21",99920273
"Austria","2021-04-22",102679144
"Austria","2021-04-23",105506421
"Austria","2021-04-24",108373843
"Austria","2021-04-25",111269053
"Austria","2021-04-26",114195030
"Austria","2021-04-27",117169052
"Austria","2021-04-28",120201383
"Austria","2021-04-29",123309861
"Austria","2021-04-30",126499056
"Austria","2021-05-01",129730170
"Austria","2021-05-02",132977928
"Austria","2021-05-03",136254945
"Austria","2021-05-04",139593266
"Austria","2021-05-05",143009528
"Austria","2021-05-06",146523125
"Austria","2021-05-07",150145633
"Austria","2021-05-08",153820256
"Austria","2021-05-09",157513524
"Austria","2021-05-10",161249981
"Austria","2021-05-11",165052405
"Austria","2021-05-12",168955097
"Austria","2021-05-13",172891679
"Austria","2021-05-14",176918189
"Austria","2021-05-15",181004534
"Austria","2021-05-16",185114872
"Austria","2021-05-17",189272357
"Austria","2021-05-18",193499376
"Austria","2021-05-19",197831763
"Austria","2021-05-20",202274750
"Austria","2021-05-21",206828625
"Austria","2021-05-22",211441038
"Austria","2021-05-23",216082662
"Austria","2021-05-24",220748882
"Austria","2021-05-25",225469816
"Austria","2021-05-26",230283097
"Austria","2021-05-27",235195322
"Austria","2021-05-28",240217173
"Austria","2021-05-29",245301042
"Austria","2021-05-30",250422937
"Austria","2021-05-31",255588285
"Austria","2021-06-01",260843552
"Austria","2021-06-02",266240599
"Austria","2021-06-03",271705221
"Austria","2021-06-04",277277800
"Austria","2021-06-05",282912855
"Austria","2021-06-06",288601014
"Austria","2021-06-07",294345930
"Austria","2021-06-08",300181497
"Austria","2021-06-09",306132874
"Austria","2021-06-10",312203707
"Austria","2021-06-11",318404081
"Austria","2021-06-12",324673243
"Austria","2021-06-13",330979685
"Austria","2021-06-14",337334314
